array,site,long,lat,easting_12n,northing_12n,camera,start_date,end_date,camera_failure_details
LU13,LU13_3,-111.49142000000002,57.12465,470247.3084264982,6331368.676032839,3,2022-09-18,2023-09-27,NA
LU13,LU13_34,-111.45408,57.12297000000001,472506.76850448793,6331165.998673154,34,2022-09-18,2023-09-27,NA
LU13,LU13_57,-111.05726000000001,57.20649,496540.86488449504,6340373.257721259,57,2022-09-18,2023-09-24,NA
LU13,LU13_16,-111.58554,57.16297000000001,464585.5722862072,6335679.26593479,16,2022-09-18,2023-09-27,NA
LU13,LU13_21,-111.58622000000001,57.19368,464573.8392547519,6339098.137356905,21,2022-09-18,2023-09-27,NA
LU13,LU13_37,-111.37926,57.11808,477033.84740603017,6330593.99285106,37,2022-09-18,2023-09-27,NA
LU13,LU13_55,-111.30484,57.11781,481540.2090756391,6330541.343869722,55,2022-09-18,2023-09-27,NA
LU13,LU13_47,-111.09103,57.1871,494497.902779457,6338217.005614256,47,2022-09-18,2023-09-24,NA
LU13,LU13_51,-111.25424000000001,57.08858,484592.1939485075,6327275.00139388,51,2022-09-16,2023-09-24,NA
LU13,LU13_27,-111.24763000000002,57.097150000000006,484996.24288582953,6328227.511506748,27,2022-09-16,2023-09-24,NA
LU13,LU13_5,-111.21362000000002,57.1115,487061.8854939164,6329817.9447749965,5,2022-09-16,2023-09-23,NA
LU13,LU13_26,-111.27681,57.08022,483220.60531814536,6326349.718606728,26,2022-09-16,2023-09-24,NA
LU13,LU13_35,-111.43315000000001,57.11565,473768.8360320066,6330342.923998093,35,2022-09-16,2023-09-26,NA
LU13,LU13_13,-111.30006999999999,57.07174,481806.50896256446,6325411.716689266,13,2022-09-16,2023-09-24,NA
LU13,LU13_128,-111.3068,57.063210000000005,481394.1976718645,6324464.006005322,128,2022-09-16,2023-09-24,NA
LU13,LU13_131,-111.32229999999998,57.06533000000001,480455.32249483676,6324704.32650561,131,2022-09-16,2023-09-24,NA
LU13,LU13_12,-111.31858,57.057739999999995,480676.964330659,6323858.38122181,12,2022-09-16,2023-09-24,NA
LU13,LU13_33,-111.33516999999999,57.0561,479669.8288322192,6323680.641388611,33,2022-09-16,2023-09-24,NA
LU13,LU13_32,-111.34759000000001,57.04958,478912.7864094643,6322958.631600377,32,2022-09-16,2023-09-24,NA
LU13,LU13_30,-111.36054,57.04375,478123.7272529245,6322313.737581318,30,2022-09-16,2023-09-24,NA
LU13,LU13_53,-111.26450000000001,57.11683,483982.5942887108,6330422.06073381,53,2022-09-15,2023-09-24,NA
LU13,LU13_22,-111.12086,57.17485,492692.4812117806,6336856.156385674,22,2022-09-15,2023-09-24,NA
LU13,LU13_19,-111.13,57.163340000000005,492137.4099684517,6335575.900099875,19,2022-09-15,2023-09-24,NA
LU13,LU13_45,-111.14605,57.1554,491164.79037309525,6334693.999751847,45,2022-09-15,2023-09-24,NA
LU13,LU13_8,-111.17169,57.14077,489609.61559520557,6333069.034034191,8,2022-09-15,2023-09-24,NA
LU13,LU13_43,-111.15834999999998,57.14806,490418.8126757553,6333878.587190207,43,2022-09-15,2023-09-24,NA
LU13,LU13_41,-111.18623,57.13169,488726.921400142,6332060.579590536,41,2022-09-15,2023-09-24,NA
LU13,LU13_59,-111.25407,57.12108,484615.9670030699,6330892.7576912735,59,2022-09-15,2023-09-24,NA
LU13,LU13_6,-111.21960000000001,57.12073000000001,486703.0083957579,6330846.551176109,6,2022-09-15,2023-09-24,NA
LU13,LU13_14,-111.19257999999999,57.123020000000004,488339.8123069894,6331096.525420971,14,2022-09-15,2023-09-24,NA
LU13,LU13_52,-111.41942000000002,57.11729,474601.4282416654,6330520.287483885,52,2022-09-15,2023-09-27,NA
LU13,LU13_36,-111.38155,57.12073000000001,476896.82666234055,6330889.754647152,36,2022-09-15,2023-09-27,NA
LU13,LU13_38,-111.35448,57.11777,478534.21702451044,6330551.415765374,38,2022-09-15,2023-09-27,NA
LU13,LU13_20,-111.10409,57.1806,493707.4169632783,6337494.564737168,20,2022-09-14,2023-09-24,NA
