site,Coyote,Fisher,Lynx,Red squirrel,Spruce grouse,Staff,White-tailed deer,Black bear,Marten,Snowshoe hare,Unknown,Unknown deer,Caribou,Grey jay,Other birds,Otter,Unknown mustelid,Grey wolf,Red fox,Short-tailed weasel,Domestic dog,Unknown canid,Other,Moose,Unknown ungulate,Ruffed grouse,Cougar,Wolverine,ATVer,Human,Canada goose,Raven,Unknown bear,Snowmobiler,Hiker,Striped skunk
LU09_41,5,0,0,0,1,2,35,5,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_44,4,0,1,0,0,2,1,1,0,17,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LU09_5,17,0,0,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_51,0,1,2,21,6,1,3,0,1,129,1,0,2,1,1,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LU09_55,4,1,1,19,3,2,12,4,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_57,0,0,1,2,0,2,4,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
LU09_6,17,0,0,1,0,2,14,4,4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LU09_62,1,0,0,1,0,2,179,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_63,3,0,0,0,0,2,98,8,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_64,6,3,2,5,0,2,49,2,1,10,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
LU09_65,20,1,4,39,0,2,5,4,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LU09_67,1,0,0,0,4,2,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_68,1,1,0,4,0,2,7,2,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LU09_7,27,2,0,1,0,2,36,5,0,2,1,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_72,24,1,0,6,0,2,46,8,1,28,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_73,12,2,0,7,1,2,26,4,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LU09_75,7,1,4,62,0,2,13,0,0,21,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_76,14,0,2,6,0,2,42,3,0,8,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LU09_77,8,0,3,1,0,2,11,3,0,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_79,9,0,5,10,0,2,21,3,5,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_8,19,0,0,0,0,2,42,6,3,1,1,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU09_80,29,3,1,24,0,2,30,6,3,6,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LU09_81,1,2,1,6,0,1,6,0,1,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LU09_82,5,2,1,0,0,2,7,5,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LU09_85,23,0,3,5,0,2,26,3,0,3,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
